Date,Avoider,Type of Avoid,Avoided
11/30/18,WY,agg1,HS
11/30/18,ZE,agg2,VB
11/30/18,ZI,agg3,TB
11/30/18,ZI,agg2,WY
12/1/18,AF,agg3,PB
12/1/18,AF,hd2,HD
12/1/18,AX,s,FD
12/1/18,BH,agg2,PY
12/1/18,CC,fg2,PY
12/1/18,CE,agg2,HJ
12/1/18,DG,s,YV
12/1/18,DS,agg2,KQ
12/1/18,DUDA2,s,LQ
12/1/18,DZ,agg1,IE
12/1/18,DZ,hd1,YN
12/1/18,IQ,agg2,ZP
12/1/18,IY,agg2,WO
12/1/18,JL,agg2,ZI
12/1/18,JM,s,ZP
12/1/18,JM,g2ff,JO
12/1/18,JM,fg2,"FF,JO"
12/1/18,LQ,agg3,QI
12/1/18,LQ,agg3,TB
12/1/18,MD2,agg2,VJ
12/1/18,MZ,agg2,PY
12/1/18,OI,s,YN
12/1/18,PA,s,YN
12/1/18,PA,agg2,NQ
12/1/18,PY,s,AR
12/1/18,PY,hd2,AR
12/1/18,TB,s,ML
12/1/18,TN,hd1,MA
12/1/18,TN,agg2,AF
12/1/18,TO,agg2,ZI
12/1/18,TU,agg2,CA
12/1/18,TW,s,CE
12/1/18,WO,agg2,PU
12/1/18,WO,agg1,"PU,WR"
12/1/18,WO,agg3,PU
12/1/18,WQ,agg3,WY
12/1/18,WQ,agg2,HS
12/1/18,WY,agg2,WQ
12/1/18,WY,s,HC
12/1/18,WY,agg3,WQ
12/1/18,WY,agg2,HS
12/1/18,YE,agg3,HJ
12/1/18,YE,agg2,HT
12/1/18,YL,agg2,HJ
12/3/18,DS,hd2,EZ
12/3/18,DS,agg2,YU
12/3/18,EZ,agg2,HT
12/3/18,IFIA2,agg2,VB
12/3/18,JL,agg3,AF
12/3/18,ML,fd,IQ
12/3/18,NQ,agg3,YL
12/3/18,PA,agg2,YR
12/3/18,SR,sg,HL
12/3/18,TELH,agg2,IE
12/3/18,VJ,agg3,TELH
12/3/18,YO,agg2,YU
12/3/18,YU,agg2,θ
12/3/18,ZI,agg2,EZ
12/6/18,AF,agg2,HD
12/6/18,AL,agg2,YO
12/6/18,CA,agg2,MA
12/6/18,CG,agg2,EZ
12/6/18,DG,agg2,HD
12/6/18,DL2,agg1,AL
12/6/18,DU,s,QE
12/6/18,FF,s,HJ
12/6/18,FFFO,s,HL
12/6/18,FG,agg3,KC
12/6/18,HC,agg1,"YN,WR,YA"
12/6/18,IEVN,agg1,PB
12/6/18,IF,sg,DG
12/6/18,IFIA2,s,HJ
12/6/18,IFIA2,s,PB
12/6/18,IG,hd1,WY
12/6/18,JL,agg3,AL
12/6/18,JM,agg2,CF
12/6/18,JM,agg3,QE
12/6/18,JR,agg3,KQ
12/6/18,KC,agg2,FG
12/6/18,MA,s,SR
12/6/18,MF,hd2,ST
12/6/18,ML,fd,IQ
12/6/18,ML,agg2,BH
12/6/18,ML,agg2,SR
12/6/18,ML,sg,HA
12/6/18,MV,agg2,PY
12/6/18,MV,agg2,IE
12/6/18,MZ,sg,ZP
12/6/18,NW,agg2,YU
12/6/18,PU,agg2,YU
12/6/18,PU,agg2,YR
12/6/18,PY,hd2,GL
12/6/18,QE,hd1,HD
12/6/18,QE,agg3,SR
12/6/18,QE,s,CC
12/6/18,QE,s,HJ
12/6/18,QE,fd,YR
12/6/18,SR,sg,IG
12/6/18,SR,s,YR
12/6/18,SR,sg,HD
12/6/18,SS,fd,PB
12/6/18,ST,sg,ZP
12/6/18,TELH,agg2,IQ
12/6/18,VB,fd,PA
12/7/18,AF,hd2,HD
12/7/18,AF,hd2,WR
12/7/18,CC,s,HA
12/7/18,DU,s,YL
12/7/18,EA,agg1,SS
12/7/18,FFFO,agg3,TO
12/7/18,FFFO,agg2,TO
12/7/18,FFFO,agg2,HA
12/7/18,HC,agg1,YE
12/7/18,HC,agg1,"NW,NQ"
12/7/18,IE,s,HS
12/7/18,IG,hd1,YE
12/7/18,JM,hd2,HC
12/7/18,JP2,s,OI
12/7/18,KS,agg3,RK
12/7/18,KT,s,YU
12/7/18,LT,s,OI
12/7/18,LV,s,WC
12/7/18,MF,hd2,ST
12/7/18,MR,agg2,PY
12/7/18,NW,agg3,HC
12/7/18,PZ,s,YV
12/7/18,QE,agg1,CC
12/7/18,QE,s,CC
12/7/18,TB,s,YU
12/7/18,TE,agg1,TN
12/7/18,TL,hd2,HT
12/7/18,TN,agg1,KT
12/7/18,TO,agg1,IF
12/7/18,TO,hd1,PA
12/7/18,TO,agg2,GV
12/7/18,TO,agg3,YV
12/7/18,TO,s,GV
12/7/18,TOFU,agg2,CA
12/7/18,TT,hd1,WR
12/7/18,VD,agg1,GL
1/7/19,DZ,agg2,HD
1/7/19,DZ,hd2,EQ
1/7/19,EV,agg3,YU
1/7/19,EZ,agg1,CA
1/7/19,I,agg3,CA
1/7/19,MA,agg1,YU
1/7/19,MV,agg3,MA
1/8/19,AF,hd2,YU
1/8/19,ALAL2,agg2,WR
1/8/19,CR,agg2,HD
1/8/19,CR,agg2,ST
1/8/19,EQ,agg3,HC
1/8/19,HA,agg3,WR
1/8/19,HC,agg2,YE
1/8/19,HC,agg2,"NQ,WC"
1/8/19,KCI,s,HL
1/8/19,ML,hd2,ED
1/8/19,MR,sg,IQ
1/8/19,NQ,agg3,YE
1/8/19,"NW,ML",agg2,FD
1/8/19,PU,agg3,YL
1/8/19,PU,agg1,YE
1/8/19,QE,hd2,HD
1/8/19,TELH,agg2,OI
1/8/19,WC,agg2,YL
1/8/19,WC,agg3,HC
1/8/19,"WC,NQ",agg1,HC
1/8/19,WR,agg1,FD
1/8/19,YE,agg2,HC
1/9/19,AF,hd2,HD
1/9/19,CG,agg3,JR
1/9/19,CG,agg2,RK
1/9/19,CR,hd2,HD
1/9/19,DO,agg2,TU
1/9/19,DO,agg2,ML
1/9/19,DO,agg2,IEVN
1/9/19,DU,agg1,AL
1/9/19,DZ,agg1,JO
1/9/19,FF,agg3,SR
1/9/19,IE,s,YV
1/9/19,IFIA2,s,HD
1/9/19,JR,agg2,TU
1/9/19,LV,s,JL
1/9/19,MF,s,VB
1/9/19,ML,s,YV
1/9/19,MV,fd,HA
1/9/19,ST,agg2,OI
1/9/19,TE,agg2,AR
1/9/19,TU,s,EQ
1/9/19,TU,agg1,JO
1/9/19,YA,agg2,MA
1/9/19,YU,agg2,WQ
1/9/19,YU,agg2,HS
1/9/19,ZI,agg3,HL
1/10/19,AF,hd2,HD
1/10/19,AF,hd2,FD
1/10/19,BQ,fd,VB
1/10/19,CE,agg3,MA
1/10/19,CR,hd2,HD
1/10/19,DO,agg2,"HL,ML,HC"
1/10/19,EV,agg2,YV
1/10/19,KCI,s,FF
1/10/19,KT,agg3,DG
1/10/19,KT,agg3,GL
1/10/19,TT,s,YV
1/10/19,VI,s,WR
1/10/19,"WO,IG",agg2,HC
1/10/19,WR,fd,HC
1/10/19,YE,s,YV
1/10/19,YE,agg1,HC
1/10/19,YV,agg2,HT
1/10/19,YV,agg1,VB
1/11/19,AN2,agg1,HC
1/11/19,DC,agg3,TT
1/11/19,DO,fd,PY
1/11/19,DO,s,HC
1/11/19,EA,fd,CR
1/11/19,EQ,s,WQ
1/11/19,EY,sg,II
1/11/19,FFFO,agg3,HD
1/11/19,FU,agg3,LW
1/11/19,HA,hd2,YR
1/11/19,HA,agg2,YR
1/11/19,HC,agg2,YR
1/11/19,HS,agg3,YU
1/11/19,IQ,hd2,WR
1/11/19,IY,agg3,YV
1/11/19,JM,agg2,SR
1/11/19,JR,agg1,AL
1/11/19,KCI,s,FF
1/11/19,LW,agg3,PB
1/11/19,LW,agg2,NP
1/11/19,MF,agg2,CC
1/11/19,MR,agg3,JuvM
1/11/19,MR,agg2,DQ
1/11/19,NW,agg1,YR
1/11/19,PU,agg1,WQ
1/11/19,QE,hd2,HD
1/11/19,TOI,s,HA
1/11/19,TT,agg3,IE
1/11/19,TU,agg2,WQ
1/11/19,TW,agg2,AX
1/11/19,VM,agg2,IR
1/11/19,WR,s,YU
1/11/19,WY,agg3,YL
1/11/19,WY,agg2,WQ
1/11/19,YO,agg2,YR
1/11/19,YR,agg3,YV
1/11/19,YU,agg1,HC
1/11/19,ZI,fd 3#,CA
1/12/19,AF,hd2,HD
1/12/19,BH,s,YV
1/12/19,BH,s,YU
1/12/19,DZ,hd2,HC
1/12/19,DZ,agg3,HC
1/12/19,EV,hd2,ST
1/12/19,EY,agg2,II
1/12/19,FF,s,ZP
1/12/19,FG,agg2,ZI
1/12/19,FG,agg2,LQ
1/12/19,GL,s,AR
1/12/19,GV,agg3,AR
1/12/19,HS,agg1,WQ
1/12/19,HS,agg1,WY
1/12/19,IFIA2,agg1,AR
1/12/19,II,agg3,PB
1/12/19,II,agg2,AX
1/12/19,InfF,agg1,KC
1/12/19,KT,hd1,YV
1/12/19,MF,agg1,AF
1/12/19,ML,hd1,ZP
1/12/19,MZ,s,IR
1/12/19,PB,agg2,II
1/12/19,PB,agg2,FD
1/12/19,PU,agg1,WQ
1/12/19,SR,hd1,HD
1/12/19,TL,agg2,YV
1/12/19,TL,agg2,KT
1/12/19,TL,agg3,YV
1/12/19,TU,agg1,TL
1/12/19,TU,agg2,WQ
1/12/19,WY,agg1,WQ
1/12/19,YN,agg1,GV
1/12/19,YU,agg2,WQ
1/12/19,YU,agg1,"HS,WY"
1/14/19,CC,agg2,PB
1/14/19,FG,agg2,IY
1/14/19,HA,hd2,WQ
1/14/19,II,agg2,PY
1/14/19,IY,agg2,WQ
1/14/19,KCI,s,HA
1/14/19,KT,agg3,WQ
1/14/19,ML,fd,KQ
1/14/19,MR,agg3,AR
1/14/19,PB,agg2,IR
1/14/19,PM,agg2,WQ
1/14/19,WQ,agg2,KT
1/15/19,AF,agg2,ST
1/15/19,AF,hd2,OI
1/15/19,AF,hd2,ST
1/15/19,AF,hd1,ST
1/15/19,ALAL2,s,HC
1/15/19,ALAL2,agg3,AF
1/15/19,CE,agg1,"WY,IY"
1/15/19,CR,hd2,HD
1/15/19,CU2,s,TOI
1/15/19,DC,agg2,AR
1/15/19,DU,s,YU
1/15/19,DZ,s,WC
1/15/19,FA,agg3,HS
1/15/19,HC,agg2,HS
1/15/19,HL,agg3,WQ
1/15/19,HS,agg1,PU
1/15/19,IFIA2,s,OI
1/15/19,II,agg3,ZI
1/15/19,IQ,s,YN
1/15/19,JL,sg,ZE
1/15/19,JO,agg3,WQ
1/15/19,LV,s,DG
1/15/19,LW,agg1,ZI
1/15/19,MA,agg3,TN
1/15/19,MD2,agg3,PB
1/15/19,MD2,agg3,DC
1/15/19,ML,sg,ZE
1/15/19,MV,agg2,HC
1/15/19,NW,agg1,CE
1/15/19,PB,agg2,MA
1/15/19,PU,agg1,HS
1/15/19,TL,hd2,YV
1/15/19,TL,agg2,HT
1/15/19,TL,agg2,CE
1/15/19,TN,agg3,HL
1/15/19,TU,agg1,TL
1/15/19,TU,agg1,HQ
1/15/19,TU,agg2,HA
1/15/19,VO,agg3,IFIA2
1/15/19,WC,agg1,WY
1/15/19,YA,agg3,CE
1/15/19,YE,agg3,YL
1/15/19,YE,agg1,YV
1/15/19,YL,agg3,YE
1/15/19,"YL,YV",agg2,WQ
1/15/19,ZI,agg1,HS
1/16/19,AF,agg2,ST
1/16/19,BH,fd,AX
1/16/19,CR,hd2,HD
1/16/19,DZDS2,s,HT
1/16/19,EV,hd2,ST
1/16/19,EV,agg2,FD
1/16/19,HC,agg2,"HD,HT"
1/16/19,HT,agg3,HC
1/16/19,JL,fd,KT
1/16/19,JM,agg3,PB
1/16/19,KCI,agg2,PY
1/16/19,MF,agg3,VB
1/16/19,MF,agg2,ZP
1/16/19,MF,agg2,ST
1/16/19,ML,agg2,IQ
1/16/19,MR,agg1,HC
1/16/19,MZ,fd,AL
1/16/19,NW,agg2,WQ
1/16/19,PB,agg2,JM
1/16/19,PB,agg3,WQ
1/16/19,PF,agg2,PB
1/16/19,RK,agg2,VB
1/16/19,TL,hd1,HT
1/16/19,TN,agg1,KC
1/16/19,TN,hd2,HD
1/16/19,TOI,s,HA
1/16/19,TOI,agg2,HA
1/16/19,TOI,s,HL
1/16/19,VI,hd2,YU
1/16/19,WQ,agg2,HD
1/16/19,WQ,agg2,"HJ,NW"
1/16/19,YE,agg3,HC
1/16/19,YE,s,YN
1/17/19,BZ,agg2,WQ
1/17/19,CC,s,OI
1/17/19,DU,hd1,ZP
1/17/19,EQ,agg1,HC
1/17/19,FA,agg1,IY
1/17/19,FFFO,agg1,FD
1/17/19,FFFO,agg3,TOI
1/17/19,GL,agg1,DG
1/17/19,GV,agg3,JO
1/17/19,II,agg2,ST
1/17/19,IY,agg2,PB
1/17/19,IY,agg2,HJ
1/17/19,KS,agg1,VB
1/17/19,KT,s,IF
1/17/19,LQ,agg1,TO
1/17/19,LQ,agg1,DC
1/17/19,LV,s,ZP
1/17/19,MF,hd2,ST
1/17/19,MF,agg2,VB
1/17/19,ML,hd2,GL
1/17/19,MZ,fd,TE
1/17/19,MZ,s,YU
1/17/19,PB,agg3,IY
1/17/19,PF,agg3,TU
1/17/19,PU,agg2,YV
1/17/19,PY,agg2,OI
1/17/19,SRSZ,s,TT
1/17/19,TOI,hd1,OI
1/17/19,TOI,agg1,FD
1/17/19,TU,agg2,HL
1/17/19,TU,s,YU
1/17/19,TY2,agg3,PF
1/17/19,VO,agg2,FD
1/18/19,AX,s,YE
1/18/19,CE,agg2,YU
1/18/19,CR,hd2,HD
1/18/19,DL2,s,YL
1/18/19,DS2,s,OI
1/18/19,DU,agg1,IR
1/18/19,DU,agg2,II
1/18/19,DZ,agg2,YE
1/18/19,DZ,s,OI
1/18/19,FG,agg2,PB
1/18/19,FG,agg2,RK
1/18/19,II,agg2,KQ
1/18/19,JM,agg2,CA
1/18/19,KQ,agg2,HL
1/18/19,KQ,agg2,EZ
1/18/19,KQ,agg3,IY
1/18/19,KT,agg1,TO
1/18/19,LQ,agg1,VB
1/18/19,LV,s,VB
1/18/19,MF,agg2,VB
1/18/19,ML,s,TOI
1/18/19,PG,agg2,MR
1/18/19,PU,agg2,OI
1/18/19,TL,agg3,YU
1/18/19,TL,agg1,HT
1/18/19,TOI,s,II
1/18/19,TOI,fd,IQ
1/18/19,TOI,agg2,HA
1/18/19,TU,agg1,AF
1/18/19,UM,agg2,VB
1/18/19,YN,agg2,NQ
1/18/19,YN,agg3,YU
1/19/19,AF,hd2,YL
1/19/19,AL,agg2,EA
1/19/19,BH,fd,IQ
1/19/19,CU,sp,VB
1/19/19,FF,agg2,YR
1/19/19,FF,s,YU
1/19/19,FG,agg2,LQ
1/19/19,GV,agg1,HD
1/19/19,IW,agg3,PB
1/19/19,JL,agg2,II
1/19/19,JL,agg2,HL
1/19/19,JM,s,YE
1/19/19,KQ,agg2,VB
1/19/19,KT,agg2,VO
1/19/19,KT,agg2,II
1/19/19,LV,agg1,VB
1/19/19,MF,hd2,ST
1/19/19,ML,agg2,PB
1/19/19,MZ,sg,HA
1/19/19,PS,s,YV
1/19/19,PU,agg2,OI
1/19/19,ST,agg2,PA
1/19/19,TE,fd,IQ
1/19/19,TE,agg2,TL
1/19/19,TOI,s,YV
1/19/19,TOI,s,HA
1/19/19,TU,agg2,HA
1/19/19,TW,s,PB
1/19/19,VI,hd1,EZ
1/19/19,VJ,s,ST
1/19/19,WR,agg1,YL
1/21/19,DS,agg3,QS
1/21/19,EY,sg,VB
1/21/19,EZ,agg2,HD
1/21/19,IW,agg3,UM
1/21/19,JL,agg2,YN
1/21/19,LQ,agg2,TL
1/21/19,MF,agg3,EZ
1/21/19,MF,agg2,HD
1/21/19,MF,agg1,DUDA2
1/21/19,PM,agg2,VB
1/21/19,QS,agg2,EZ
1/21/19,SR,sg,YL
1/21/19,UM,s,"HD,EZ"
1/21/19,UM,agg2,IW
1/21/19,UM,agg2,HS
1/21/19,VM,sg,YL
1/21/19,VO,s,TL
1/21/19,WR,agg2,HD
1/21/19,ZP,s,"HD,EZ"
1/22/19,AR,agg2,HT
1/22/19,CA,agg2,WQ
1/22/19,CR,hd2,HD
1/22/19,DU,agg2,IQ
1/22/19,DZ,agg3,PY
1/22/19,DZ,agg2,"HL,PY"
1/22/19,FF,hd2,HD
1/22/19,GL,agg3,WQ
1/22/19,JL,fd,TU
1/22/19,KT,agg1,VB
1/22/19,MF,hd1,YE
1/22/19,ML,agg2,IY
1/22/19,MV,agg2,PY
1/22/19,MV,agg1,GL
1/22/19,MZ,hd1,IR
1/22/19,NW,s,WO
1/22/19,PY,agg2,HT
1/22/19,SR,agg1,IF
1/22/19,TT,agg2,YU
1/22/19,TW2,agg1,MV
1/22/19,YR,agg2,GL
1/22/19,YR,agg1,GV
1/23/19,CG,agg2,VB
1/23/19,CG,agg1,VB
1/23/19,CO2,s,YV
1/23/19,CV2,s,YU
1/23/19,DU,agg1,TO
1/23/19,DU,agg1,PY
1/23/19,DU,agg2,PY
1/23/19,DU,agg2,IQ
1/23/19,DU,agg2,VM
1/23/19,EY,hd1,GL
1/23/19,EZ,agg2,WC
1/23/19,EZ,agg2,WY
1/23/19,FF,agg1,VB
1/23/19,HJ,agg2,NW
1/23/19,HL,agg3,HD
1/23/19,KCI,fg1,FFFO
1/23/19,LV,agg1,IE
1/23/19,MZ,s,YU
1/23/19,MZ,s,WO
1/23/19,PU,agg1,OI
1/23/19,SRSZ,s,AX
1/23/19,TE,agg2,VB
1/23/19,TE,agg1,TO
1/23/19,TOI,s,HA
1/23/19,TOI,s,OI
1/23/19,TOI,s,YU
1/23/19,TU,agg2,TL
1/23/19,UM,agg3,CC
1/23/19,VO,agg3,VB
1/23/19,WR,agg1,EQ
1/23/19,ZE,agg2,PB
1/24/19,FF,agg3,HD
1/25/19,CR,hd1,HD
1/25/19,DZ,agg2,BQ
1/25/19,EY,fg1,SR
1/25/19,HC,agg2,"WR,WO"
1/25/19,HC,agg2,"HS,DG,GL"
1/25/19,HS,agg3,HC
1/25/19,HT,s,YU
1/25/19,IA2,,HA
1/25/19,KCI,s,HA
1/25/19,KCI,s,PY
1/25/19,KCI,,HA
1/25/19,MF,,ST
1/25/19,NW,agg1,"EQ,YN"
1/25/19,PY,agg2,EZ
1/25/19,WO,agg3,HC
1/25/19,WO,s,HS
1/25/19,WY,agg3,HC
1/26/19,AL,s,IR
1/26/19,BZ,s,HT
1/26/19,CC,s,PB
1/26/19,CF,agg1,TO
1/26/19,DA2,s,AR
1/26/19,FG,agg2,KCI
1/26/19,II,agg2,YU
1/26/19,KT,s,YV
1/26/19,LQ,agg1,IF
1/26/19,LV,agg1,IF
1/26/19,MF,agg2,IY
1/26/19,MF,s,OI
1/26/19,MF,hd2,YV
1/26/19,NQ,s,WQ
1/26/19,PM,agg3,EZ
1/26/19,SS,agg2,PB
1/26/19,SS,s,HT
1/26/19,TN,agg2,WQ
1/26/19,TU,agg2,WQ
1/26/19,TU,agg2,TL
1/26/19,TU,hd2,WQ
1/26/19,WO,agg3,HC
1/26/19,"WO,NW",agg2,HC
1/26/19,WY,agg3,YC
1/26/19,WY,s,HC
1/26/19,WY,agg3,HC
1/26/19,YO,s,HC
1/26/19,YV,hd2,WQ
1/28/19,AF,agg2,PB
1/28/19,ET2,agg3,EA
1/28/19,FD,s,HD
1/28/19,FD,s,JO
1/28/19,FF,agg1,TO
1/28/19,FF,agg1,LV
1/28/19,FF,agg1,AX
1/28/19,GV,agg2,WR
1/28/19,GV,agg2,YL
1/28/19,IE,agg1,VB
1/28/19,JL,fd,IY
1/28/19,JP2,agg2,PM
1/28/19,KCI,s,HL
1/28/19,KCI,s,SR
1/28/19,LQ,agg1,FF
1/28/19,LQ,agg2,SR
1/28/19,LQ,agg3,FF
1/28/19,MG2,agg2,CU
1/28/19,PB,agg2,VB
1/28/19,QE,hd2,HD
1/28/19,SR,agg3,CU
1/28/19,TU,agg2,VB
1/28/19,TW,s,HD
1/28/19,WC,agg1,"WR,GV"
1/28/19,WQ,agg3,FD
1/28/19,YE,agg1,FD
1/29/19,BHI,s,HA
1/29/19,BHI,s,HD
1/29/19,CE,agg3,WR
1/29/19,CE,agg2,YU
1/29/19,CO2,agg3,LV
1/29/19,DL2,fd,QI
1/29/19,DQ,agg2,YU
1/29/19,DU,hd2,ZP
1/29/19,EZ,s,GV
1/29/19,FD,agg2,"YE,YU"
1/29/19,FD,agg2,"YE,GV"
1/29/19,GI,agg2,HC
1/29/19,InfM,agg3,ZE
1/29/19,KT,agg2,IF
1/29/19,LV,agg1,TO
1/29/19,LW,agg2,VB
1/29/19,MF,agg2,BS
1/29/19,MF,hd2,ZP
1/29/19,MZMD2,agg2,GL
1/29/19,NQ,s,HD
1/29/19,NQ,agg2,YU
1/29/19,OI,agg1,WR
1/29/19,PF,agg1,VB
1/29/19,PS,s,VB
1/29/19,PY,agg2,VB
1/29/19,SR,agg2,OI
1/29/19,TL,agg2,HA
1/29/19,TN,agg2,YU
1/29/19,TO,agg1,IF
1/29/19,TOI,s,HL
1/29/19,TOI,hd2,OI
1/29/19,TOI,agg1,FD
1/29/19,VB,agg2,HC
1/29/19,WC,agg1,"WY,WR"
1/29/19,WR,agg1,FD
1/29/19,WR,agg1,"WY,HS"
1/29/19,WY,agg2,HS
1/29/19,WY,agg1,HS
1/29/19,"WY,CA,HS",agg2,WR
1/29/19,YE,agg3,FD
1/29/19,YO,agg1,"YU,WC"
1/29/19,ZE,agg3,"HS,WR"
1/30/19,CR,s,IF
1/30/19,DU,s,HL
1/30/19,EA,agg3,TO
1/30/19,EA,s,HD
1/30/19,ET2,agg3,RK
1/30/19,FG,agg3,IW
1/30/19,IG,agg2,HC
1/30/19,KCI,hd2,HD
1/30/19,ML,agg2,IQ
1/30/19,MV,s,HJ
1/30/19,MZ,hd1,HC
1/30/19,MZ,hd1,IR
1/30/19,MZ,s,TOI
1/30/19,PY,agg3,ZI
1/30/19,QE,agg3,AL
1/30/19,TOI,s,HA
1/30/19,TOI,s,AX
1/30/19,TW,s,HA
1/30/19,VO,agg2,ML
1/30/19,ZI,agg2,PY
1/31/19,AF,agg2,IQ
1/31/19,AL2,s,HC
1/31/19,CE,agg1,OI
1/31/19,CF,agg3,PB
1/31/19,DO,agg2,PY
1/31/19,"DZ,IQ",agg2,YN
1/31/19,EA,hd1,HD
1/31/19,EA,s,HC
1/31/19,EQ,agg1,WR
1/31/19,EQ,agg1,AR
1/31/19,FF,agg1,CF
1/31/19,FG,agg2,LQ
1/31/19,FG,agg3,PM
1/31/19,FG,agg1,IG
1/31/19,HS,agg1,WR
1/31/19,II,agg2,PY
1/31/19,IQ,agg3,YN
1/31/19,IQ,agg2,EQ
1/31/19,KCI,s,YV
1/31/19,KCI,s,OI
1/31/19,LQ,agg2,JM
1/31/19,MV,agg1,IR
1/31/19,MZ,gr,MV
1/31/19,MZ,s,YU
1/31/19,MZ,hd2,IR
1/31/19,MZ,s,YV
1/31/19,NP,agg3,WY
1/31/19,NP,agg1,EQ
1/31/19,NP,agg2,WY
1/31/19,NP,agg2,AR
1/31/19,PS,agg1,VB
1/31/19,PY,agg3,EZ
1/31/19,TE,s,TO
1/31/19,TN,agg3,SR
1/31/19,TOI,s,HA
1/31/19,TOI,s,OI
1/31/19,TT,agg2,IY
1/31/19,WR,agg1,HS
1/31/19,WY,agg1,WR
2/1/19,CC,agg2,LQ
2/1/19,FFFO,agg2,HA
2/1/19,JL,agg3,KCI
2/1/19,LQ,agg3,PB
2/1/19,MLI,s,HL
2/1/19,TN,agg2,PY
2/1/19,TW,agg2,DG
2/1/19,WY,agg1,HS
2/2/19,AF,s,WY
2/2/19,AX,s,YV
2/2/19,BHI,s,YV
2/2/19,DZ,hd2,YE
2/2/19,HT,s,YV
2/2/19,IQ,fg2,FD
2/2/19,IQ,hd1,HC
2/2/19,IQ,agg2,YN
2/2/19,IQ,agg1,HC
2/2/19,IQ,agg1,YN
2/2/19,IQ,agg3,YN
2/2/19,IW,agg1,CA
2/2/19,JR,agg2,CE
2/2/19,LW,agg2,SR
2/2/19,MD2,agg3,JR
2/2/19,NP,s,YR
2/2/19,PB,agg2,HC
2/2/19,QB,agg2,VI
2/2/19,QB,agg2,VO
2/2/19,QE,hd2,HD
2/2/19,TE,hd2,OI
2/2/19,TL,s,YV
2/2/19,TOI,agg2,VO
2/2/19,VM,agg3,PG
2/4/19,AF,agg2,CA
2/4/19,AX,agg2,CA
2/4/19,AX,agg2,HT
2/4/19,BZ,sg,ZP
2/4/19,DA2,agg2,TE
2/4/19,DZ,hd2,HC
2/4/19,EA,agg2,TE
2/4/19,FU,agg2,TE
2/4/19,HT,agg2,EZ
2/4/19,HT,agg2,YV
2/4/19,HT,agg3,YV
2/4/19,IE,agg2,HS
2/4/19,IFIA2,agg2,WR
2/4/19,II,agg3,HT
2/4/19,KCI,s,FF
2/4/19,KCI,s,SR
2/4/19,KQ,agg2,FD
2/4/19,KT,agg2,"II,AF"
2/4/19,KT,agg3,YL
2/4/19,LQ,agg2,OI
2/4/19,PQ,agg2,TE
2/4/19,PY,sg,ZP
2/4/19,QE,s,FF
2/4/19,TE,agg2,IE
2/4/19,TE,agg2,PQ
2/4/19,TE,agg2,HS
2/4/19,TOI,s,HL
2/4/19,TT,agg2,"II,IG"
2/4/19,TUI,agg3,KT
2/4/19,TUI,agg3,HT
2/4/19,VI,agg2,CF
2/4/19,WR,agg3,"VO,HT"
2/4/19,YL,agg2,"WR,HT"
2/5/19,AL,s,HC
2/5/19,BHBC2,s,WY
2/5/19,BHBC2,agg1,MF
2/5/19,CA,agg2,FD
2/5/19,CA,agg3,FD
2/5/19,EA,sg,TT
2/5/19,FG,agg3,JM
2/5/19,FG,agg3,PB
2/5/19,FU,agg1,TE
2/5/19,GV,agg1,HC
2/5/19,IF,agg2,IY
2/5/19,II,agg2,WR
2/5/19,JM,agg2,FG
2/5/19,JM,agg2,TOI
2/5/19,JM,agg2,IQ
2/5/19,JM,agg2,IY
2/5/19,JM,agg3,YV
2/5/19,JP2,agg1,MF
2/5/19,JR,agg3,PB
2/5/19,LQ,agg2,YR
2/5/19,MF,agg1,PU
2/5/19,MF,agg2,BZ
2/5/19,MF,agg2,"CC,BZ"
2/5/19,MF,agg2,"BHBC2,CC,BZ"
2/5/19,MLI,s,PY
2/5/19,MLMS2,s,TUCA2
2/5/19,MZ,s,HC
2/5/19,MZ,agg3,EX
2/5/19,PA,agg3,HC
2/5/19,PB,agg2,NW
2/5/19,PY,agg3,EZ
2/5/19,TL,mob,θ
2/5/19,TL,agg3,
2/5/19,TOI,s,FD
2/5/19,VM,agg3,JM
2/7/19,DC,agg2,KQ
2/7/19,FA,sg,EZ
2/7/19,IW,agg3,PY
2/7/19,JR,agg2,PG
2/7/19,JV,agg3,PB
2/7/19,JV,agg1,PB
2/7/19,KQ,agg3,DC
2/7/19,PB,agg2,PU
2/7/19,PB,agg3,HC
2/7/19,PY,agg2,ZI
2/7/19,SS,agg3,HL
2/7/19,TOFN2,s,HA
2/7/19,YN,agg1,HS
2/8/19,BQ,s,RK
2/8/19,BZ,agg2,IY
2/8/19,CF,agg2,PA
2/8/19,DO,agg2,EZ
2/8/19,DO,agg2,"MLMS2,TUI"
2/8/19,DZ,agg2,"MR,MV"
2/8/19,FFFO,agg2,HD
2/8/19,FFFO,s,HC
2/8/19,GV,s,HC
2/8/19,HL,agg3,YL
2/8/19,II,agg2,IY
2/8/19,IQ,s,II
2/8/19,IR,agg1,OI
2/8/19,JM,s,CA
2/8/19,OI,agg1,WO
2/8/19,SRSZ,agg1,YN
2/8/19,TT,agg2,WQ
2/8/19,TUCA2,agg3,TWTP2
2/8/19,TUI,s,HL
2/8/19,TUI,agg2,HL
2/8/19,TUI,s,AF
2/8/19,TWTP2,agg2,DU
2/8/19,TWTP2,fg1,AX
2/8/19,WO,s,OI
