SUBJECT,SUBJECT_KIN,RELATION
PS,HJ,UNCLE
PZ,HV,MOM
PZ,HR,SIBLING
PZ,HC,SIBLING
PZ,HD,SIBLING
PZ,PB,SIBLING
PZ,PG,SIBLING
PZ,HJ,UNCLE
PZ,HL,AUNT
PZ,PA,COUSIN
PZ,PY,COUSIN
PZ,PF,COUSIN
PZ,PS,COUSIN
PZ,PC2,COUSIN
PZ,PW,COUSIN
PZ,PJ2,COUSIN
PZ,HI,UNCLE
PZ,HA,AUNT
PZ,PM,COUSIN
PZ,PJ,COUSIN
PZ,PQ,COUSIN
PZ,PX,COUSIN
QI,QL,MOM
QI,QS,SIBLING
QI,QB,SIBLING
QI,QE,SIBLING
QI,QT,NIECE
QI,QA,NIECE
QI,QG,NEPHEW
QS,QL,MOM
QS,QI,SIBLING
QS,QB,SIBLING
QS,QE,SIBLING
QS,QT,NIECE
QS,QA,NIECE
QS,QG,NEPHEW
RD,RH,MOM
RD,RK,SIBLING
RD,RN,AUNT
RD,RO,COUSIN
RK,RH,MOM
RK,RD,SIBLING
RK,RN,AUNT
RK,RO,COUSIN
SS,SB,MOM
SS,SR,SIBLING
SS,ST,SIBLING
SS,SZ,NEPHEW
SS,SN,NEPHEW
SS,SH2,NEPHEW
ST,SB,MOM
ST,SR,SIBLING
ST,SS,SIBLING
ST,SZ,NEPHEW
ST,SN,NEPHEW
ST,SH2,NEPHEW
TU2,TT,MOM
TU2,CA,UNCLE
TU2,CQ,UNCLE
TU2,CC,AUNT
TU2,CW2,COUSIN
TU2,CF,AUNT
TU2,CF2,AUNT
TU2,CV2,AUNT
TU2,CY2,AUNT
TU2,TL,GRANDMA
UM,DU,MOM
UM,DO,SIBLING
UM,DL2,SIBLING
UM,DA2,SIBLING
UM,DT2,SIBLING
UM,DH2,SIBLING
UM,DZ,GRANDMA
UM,DR2,NIECE
UM,DC,UNCLE
UM,DS,AUNT
UM,DF2,COUSIN
UM,DS2,AUNT
UM,DQ2,AUNT
VB,IG,MOM
VB,VI,SIBLING
VB,IW,SIBLING
VB,VD,SIBLING
VB,VO2,SIBLING
VB,VY2,SIBLING
VB,IQ,AUNT
VB,IY,COUSIN
VB,VO,COUSIN
VB,VM,COUSIN
VB,VP,COUSIN
VB,IR,UNCLE
VB,IE,AUNT
VB,VJ,COUSIN
VB,VN,COUSIN
VB,VA2,COUSIN
VB,IF,AUNT
VB,IJ,COUSIN
VB,IA2,COUSIN
VB,IX,COUSIN
ZE,ZB,MOM
ZE,ZI,SIBLING
ZE,ZP,SIBLING
ZE,ZO,SIBLING
ZI,ZB,MOM
ZI,ZE,SIBLING
ZI,ZP,SIBLING
ZI,ZO,SIBLING
ZP,ZB,MOM
ZP,ZE,SIBLING
ZP,ZI,SIBLING
ZP,ZO,SIBLING
