Date,avoider,age/sex avoider,type,avoided,age/sex/avoided
2018-05-03,HD,SAM,agg2,EQ,SAM
2018-05-03,NW,AM,agg2,NQ,AM
2018-05-04,HJ,AM,agg1,OI,SAM
2018-05-04,WQ,SAM,agg2,HD,SAM
2018-05-05,GL,SAM,agg2,HC,SAM
2018-05-05,WQ,SAM,agg2,HD,SAM
2018-05-08,WY,SAM,agg1,JO,SAM
2018-05-08,YO,AM,agg2,JO,SAM
2018-05-10,BS,SAM,agg2,YU,SAM
2018-05-10,GL,SAM,agg3,PA,SAM
2018-05-10,IR,SAM,agg2,PU,AM
2018-05-10,WO,SAM,agg1,MA,SAM
2018-05-14,CE,AM,agg1,ZP,SAM
2018-05-14,NW,AM,agg2,HD,SAM
2018-05-14,ST,SAM,agg2,YO,AM
2018-05-15,CE,AM,agg1,ZP,SAM
2018-05-15,GL,SAM,agg2,WQ,SAM
2018-05-15,NW,AM,agg1,WR,SAM
2018-05-15,WY,SAM,agg3,HS,SAM
2018-05-15,ZP,SAM,agg1,AR,SAM
2018-05-16,EQ,SAM,agg2,NQ,AM
2018-05-16,IY,SAM,agg2,OI,SAM
2018-05-17,AR,SAM,agg2,YR,SAM
2018-05-17,IR,SAM,agg2,NQ,AM
2018-05-17,NQ,AM,agg1,YR,SAM
2018-05-17,PU,AM,agg2,YU,SAM
2018-05-17,YR,SAM,agg2,NQ,AM
2018-05-18,AR,SAM,fd,YR,SAM
2018-05-18,ST,SAM,agg2,GV,SAM
2018-05-18,ST,SAM,agg3,GV,SAM
2018-05-19,NQ,AM,agg3,WQ,SAM
2018-05-23,IR,SAM,agg2,PA,SAM
2018-05-23,PU,AM,agg2,YU,SAM
2018-05-24,GL,SAM,fd,YU,SAM
2018-05-25,IY,SAM,agg2,MA,SAM
2018-05-25,NW,AM,agg2,IR,SAM
2018-05-25,ST,SAM,agg3,HD,SAM
2018-05-25,ST,SAM,agg3,NI,SAM
2018-05-26,HC,SAM,agg2,NI,SAM
2018-05-28,HJ,AM,agg2,EQ,SAM
2018-05-28,HJ,AM,agg3,EQ,SAM
2018-05-28,MA,SAM,agg2,HS,SAM
2018-05-28,NI,SAM,agg2,HS,SAM
2018-05-28,PA,SAM,agg2,NI,SAM
